LIEU;Type;ADRESSE;CP;Dept;VILLE;Code concession;Directeur Concession Nissan;;Téléphone;Latitude;Longitude;LIEN CHARGEMAP;;
Concession NISSAN;DC Chademo - 44 kWh;79, boulevard Gambetta;06000;06;NICE;609;BRENAC;Dominique;04-92-15-82-15;43.7032989;7.25600350000002;http://fr.chargemap.com/points/details/nissan-nice-prestige-auto;;
Concession NISSAN;DC Chademo - 44 kWh;32, avenue F. Sardou;13016;13;MARSEILLE;1323;SANTONI;Michel;04-95-06-10-10;43.36002209999999;5.339142300000049;http://fr.chargemap.com/points/details/nissan-cap-janet-automobile;;
Concession NISSAN;DC Chademo - 44 kWh;24, route de Galice;13090;13;AIX-EN-PROVENCE;1308;COURIANT;Alice;04-42-52-52-90;43.5284617;5.431112600000006;http://fr.chargemap.com/points/details/nissan-aix-en-provence;;
Concession NISSAN;DC Chademo - 44 kWh;ZA des Fourneaux;17690;17;ANGOULINS;1705;LIAIGRE;Aurélie;05-46-27-99-27;46.1038659;-1.1102610000000368;http://fr.chargemap.com/points/details/nissan-garage-cassagnau;;
Concession NISSAN;DC Chademo - 44 kWh;13 Bis, Avenue Val de L'Eure;28630;28;FONTENAY SUR EURE;2803;MARAIS;Francis;02-37-34-48-78;48.420661;1.4449591000000055;http://fr.chargemap.com/points/details/nissan-lga;;
Concession NISSAN;DC Chademo - 44 kWh;rue de Gouesnou;29200;29;BREST;2909;CAN;Abdurahman;02-98-42-14-18;48.4151073;-4.468282700000032;http://fr.chargemap.com/points/details/nissan-alliance-motors-29;;
Concession NISSAN;DC Chademo - 44 kWh;29, rue de l'Abrivado;30000;30;NIMES;3005;AMMAR;Didier;04-66-02-96-00;43.8391264;4.39001189999999;http://fr.chargemap.com/points/details/nissan-nimes-auto-sports;;
Concession NISSAN;DC Chademo - 44 kWh;6, avenue du 8 mai 1945;31520;31;RAMONVILLE ST AGNE;3120;TABOTTA;Joel;05-62-19-23-19;43.5407231;1.4799352999999655;http://fr.chargemap.com/points/details/nissan-laudis-toulouse;;
Concession NISSAN;DC Chademo - 44 kWh;469, route du Médoc;33520;33;BRUGES;3315;CRUZ ;David;05-56-13-43-00;44.87888419999999;-0.625396300000034;http://fr.chargemap.com/points/details/nissan-bordeaux;;
Concession NISSAN;DC Chademo - 44 kWh;Rue Montels l'Eglise;34970;34;MONTPELLIER/LATTES;3401;ROBERT;Claude;04-67-06-15-30;43.5755272;3.871165499999961;http://fr.chargemap.com/points/details/nissan-lattes;;
Concession NISSAN;DC Chademo - 44 kWh;2, rue du Petit Marais;35510;35;CESSON-SEVIGNE;3501;LAFERRIERE;Jean-Marc;02-99-83-59-59;48.1134569;-1.6183794999999463;http://fr.chargemap.com/points/details/nissan-rennes;;
Concession NISSAN;DC Chademo - 44 kWh;64, rue Charles Coulomb;37170;37;CHAMBRAY-LES-TOURS CDX;3702;CRAVO;Frédéric;02-47-80-45-80;47.3312186;0.702390199999968;http://fr.chargemap.com/points/details/nissan-warsemann-auto-passion;;
Concession NISSAN;DC Chademo - 44 kWh;Rocade Sud - ZI Sud;38400;38;ST-MARTIN D'HERES;3807;CHELLAKH;Farida ;04-76-62-81-81;45.165133;5.767761000000064;http://fr.chargemap.com/points/details/nissan-autolyv;;
Concession NISSAN;DC Chademo - 44 kWh;rue Auguste Guitton;42000;42;SAINT ETIENNE;4205;BOYER;Nicolas;04-77-79-19-19;45.4665781;4.384522699999934;http://fr.chargemap.com/points/details/nissan-automobiles-du-levant;;
Concession NISSAN;DC Chademo - 44 kWh;349 route de Vannes;44800;44;ST HERBLAIN;4400;BENOIT; Philippe;02-40-63-55-55;47.2499983;-1.6165207999999893;http://fr.chargemap.com/points/details/nissan-nantes;;
Concession NISSAN;DC Chademo - 44 kWh;55, rue André Dessaux;45400;45;FLEURY LES AUBRAIS;4502;BASTY;Guillaume;02-38-43-10-10;47.9282398;1.8975007000000232;http://fr.chargemap.com/points/details/nissan-auto-val-de-loire;;
Concession NISSAN;DC Chademo - 44 kWh;8, rue Louis Blériot;63100;63;CLERMONT-FERRAND;6303;DRIJARD;Wilfrid;04-73-90-96-96;45.7826605;3.1338945999999623;http://fr.chargemap.com/points/details/nissan-republique-autos;;
Concession NISSAN;DC Chademo - 44 kWh;Chemin de la Fauceille, Rond Point du Mas Rous;66100;66;PERPIGNAN;6602;DELAUNAY;Stéphane;04-68-68-00-68;42.698684;2.8958718999999746;http://fr.chargemap.com/points/details/nissan-auto-mediterranee;;
Concession NISSAN;DC Chademo - 44 kWh;38, rue des Tuileries;67460;67;SOUFFELWEYERSHEIM;6702;HUBER;Nicolas;03-88-19-77-77;48.6246866;7.727127699999983;http://fr.chargemap.com/points/details/nissan-lng-grasser;;
Concession NISSAN;DC Chademo - 44 kWh;14, rue des frères Bertrand;69250;69;VENISSIEUX;6904;PLAZA;Virginie;04-37-90-30-40;45.7178721;4.868276299999934;http://fr.chargemap.com/points/details/nissauto-lyon-sud;;
Concession NISSAN;DC Chademo - 44 kWh;42 rue de Picpus;75012;75;PARIS;7530;LEMOEL;Franck;01 44 74 08 71;48.84444269999999;2.3959261999999626;http://fr.chargemap.com/points/details/nissan-garages-nation;;
Concession NISSAN;DC Chademo - 44 kWh;3, rue Jean Ango;76000;76;ROUEN;7617;CHIROIS; Anthony;02-35-89-01-53;49.4445312;1.0702608999999938;http://fr.chargemap.com/points/details/nissan-rouen;;
Concession NISSAN;DC Chademo - 44 kWh;16, rue du Dr Piasceki;76600;76;LE HAVRE;7616;ROHAUT; Freddy;02-35-24-44-82;49.4939815;0.1399883999999929;http://fr.chargemap.com/points/details/nissan-msa-prim-le-havre;;
Concession NISSAN;DC Chademo - 44 kWh;Pôle automobile RN6;77240;77;VERT SAINT DENIS;7713;VETTIER;Jean-Luc;01-64-83-56-26;48.565306;2.613554000000022;http://fr.chargemap.com/points/details/nissan-vert-saint-denis;;
Concession NISSAN;DC Chademo - 44 kWh;29 route de Mantes;78240;78;CHAMBOURCY;7844;ANNAT;Gilles;01-82-03-00-70;48.9055447;2.050532599999997;http://fr.chargemap.com/points/details/nissan-neubauer-chambourcy;;
Concession NISSAN;DC Chademo - 44 kWh;6 bis, rue Alfred Kastler;78310;78;MAUREPAS;7850;GIERA;Stéphane;01-30-16-46-55;48.7588574;1.916022200000043;http://fr.chargemap.com/points/details/nissan-pariwest;;
Concession NISSAN;DC Chademo - 44 kWh;87/89, av. de la Défense Passive;80000;80;AMIENS ;8001;VOGEL;Franck;03-22-66-49-00;49.90821700000001;2.3232829999999467;http://fr.chargemap.com/points/details/nissan-amiens;;
Concession NISSAN;DC Chademo - 44 kWh;340, Chemin de la Croix de Noves;84000;84;AVIGNON;8410;NEVEU;Frédéric;04-90-81-47-77;43.9268003;4.841634699999986;http://fr.chargemap.com/points/details/nissan-avignon;;
Concession NISSAN;DC Chademo - 44 kWh;25, avenue de la Loge;86440;86;MIGNE-AUXANCES;8602;ORLIANGE;Dominique;05-49-57-10-07;46.613452;0.3159905999999637;http://fr.chargemap.com/points/details/garage-nissan-migne-auxances;;
Concession NISSAN;DC Chademo - 44 kWh;4, avenue des Tropiques;91955;91;LES ULIS;9114;PIERRE;Florence;01-60-92-12-00;48.6844922;2.194650499999966;http://fr.chargemap.com/points/details/nissan-les-ulis;;
Concession NISSAN;DC Chademo - 44 kWh;83 rue Aristide Briand, route nationale 20;92120;92;MONTROUGE;9213;DAUMONT;Thomas;01-40-92-77-00;48.816363;2.3173839999999472;http://fr.chargemap.com/points/details/nissan-montrouge;;
Concession NISSAN;DC Chademo - 44 kWh;15 rue Marcel Sembat;21000;21;DIJON;2102;MONARCHI;Angelo;03-80-58-75-85;47.322047;5.041479999999979;http://fr.chargemap.com/points/details/nissan-dijon;;
Concession NISSAN;DC Chademo - 44 kWh;4 boulevard Kennedy;25000;25;BESANCON;2510;RUGGERO;Raphael;03-81-47-47-17;47.237098;5.987245900000062;http://fr.chargemap.com/points/details/nissan-millauto-besancon;;
Concession NISSAN;DC Chademo - 44 kWh;26 rue de la Sapinière;54520;54;LAXOU;5409;KOPP;Michel;03-83-40-22-57;48.6925659;6.128235399999994;http://fr.chargemap.com/points/details/nissan-laxou;;
Concession NISSAN;DC Chademo - 44 kWh;Zone Delta, rue St Joseph Cugnot;50000;50;SAINT-LO;5004;BOULAY;Emmanuel;02-33-75-66-66;49.116038;-1.0913980000000265;http://fr.chargemap.com/points/details/nissan-saint-lo;;
Concession NISSAN;DC Chademo - 44 kWh;222/224 Avenue Aristide Briand;93320;93;PAVILLONS SOUS BOIS;9310;ARTEMON;Eric;01-48-02-91-92;48.9103084;2.511164000000008;;;
Concession NISSAN;DC Chademo - 44 kWh;Bretelle de l'autoroute;06110;06;LE CANNET;608;ELMANDILI;Makki;04-93-46-86-46;43.57655099999999;7.019019999999955;http://fr.chargemap.com/points/details/nissan-antibes-2;;
Concession NISSAN;DC Chademo - 44 kWh;903 avenue de Draguignan ZI;83130;83;TOULON;8320;BRENAC;Dominique;04 94 89 73 89;43.1409339;6.035190499999999;http://fr.chargemap.com/points/details/nissan-toulon;;
Concession NISSAN;DC Chademo - 44 kWh;5 rue Maurice René Simonet Briffaut EST;26000;26;VALENCE;2603;FINAND;Didier;04-75-78-11-50;44.933393;4.892360000000053;http://fr.chargemap.com/points/details/nissan-valence-groupe-bernard;;
Concession NISSAN;DC Chademo - 44 kWh;65 rue du souvenir;69000;69;LYON;6918;CHIOETTO;Luc;04-37-46-17-50;45.7755591;4.795829300000037;;;
Concession NISSAN;"DC Chademo - 44 kWh + 
AC Type 3 - 43 kWh";41, boulevard de Dijon;10800;10;ST JULIEN-LES-VILLAS ;1002;CRAEYE;Philippe;03-25-75-59-59;48.2693101;4.087567400000012;http://fr.chargemap.com/points/details/nissan-saint-julien-les-villas;;
Concession NISSAN;DC Chademo - 44 kWh;6 rue d'Annecy;68110;68;ILLZACH;6808;AMORAVAIN;Alain;03-89-31-23-23;47.7713045;7.380581300000017;http://fr.chargemap.com/points/details/nissan-carrefour-auto;;
Concession NISSAN;DC Chademo - 44 kWh;141 avenue d'Aix-les-Bains;74600;74;SEYNOD;7407;BONGIOLATTI;Alexandre;04-50-24-32-10;45.8848661;6.100630799999976;http://fr.chargemap.com/points/details/nissan-segny-auto-annecy;;
Concession NISSAN;DC Chademo - 44 kWh;Avenue du pont du Bois;59650;59;VILLENEUVE D'ASCQ;5923;IMPINES;Laurent;03-20-19-01-50;50.6323286;3.088377600000058;http://fr.chargemap.com/points/details/nissan-hellemmes;;
Concession NISSAN;DC Chademo - 44 kWh;186, route d’Orléans RN 76;18230;18;ST DOULCHARD;1806;JACQUET;Yves;02-48-27-14-00;47.099779;2.372955999999931;http://fr.chargemap.com/points/details/nissan-saint-doulchard;;
Concession NISSAN;DC Chademo - 44 kWh;111, rue Feytiat;87000;87;LIMOGES;8707;COMES;Christian;05-55-06-22-21;45.8189851;1.2865259999999807;;;
Concession NISSAN;DC Chademo - 44 kWh;Rue de Berlin - ZAC de Petite Synthe - Pont Loby ;59640;59;Saint-Pol-sur-Mer DUNKERQUE;5903;WAUCQUIER;Laurent;03-28-64-82-37;51.03456000000001;2.375201899999979;;;
Concession NISSAN;DC Chademo - 44 kWh;5 Route Nationale;01170;01;GEX;101;SERRA;Anthony;04-50-41-69-08;46.3341909;6.0580360000000155;http://fr.chargemap.com/points/details/nissan-segny;;
Concession NISSAN;DC Chademo - 44 kWh;30 rue des Guillees;79180;79;CHAURAY;7909;EMAURE;Philippe;05-49-08-28-88;46.3413432;-0.3756316000000197;http://fr.chargemap.com/points/details/nissan-chauray-carliance;;
Concession NISSAN;DC Chademo - 44 kWh;1 rue du Prieuré;59260;59;HELLEMMES;5906;IMPINES;Laurent;03-20-19-01-50;50.6268234;3.1304830000000265;;;
Concession NISSAN;DC Chademo - 44 kWh;"85, Route de Cazaux

";33260;33;LA TESTE DE BUCH;3302;PIRON;Cyril;06-70-75-54-41;44.608231;"-1.13119

";;;
Concession NISSAN;DC Chademo - 44 kWh;71 route de Thionville;57050;57;METZ;5719;LEVITA;Victor;03-87-30-00-31;49.136194;6.16901;;;
Concession NISSAN;DC Chademo - 44 kWh;15 boulevard du président Kennedy;65000;65;TARBES;6501;RAOUX;Alain;05-62-34-81-00;43.2197341;0.08724269999993339;;;
Concession NISSAN;DC Chademo - 44 kWh;6402 Avenue Santos Dumont;64230;64;LESCAR;6402;DELAHAYE;Frédéric;03 23 64 01 80;43.32055709999999;-0.4229186000000027;;;
Concession NISSAN;DC Chademo - 44 kWh;Route d’Objat, Avenue André Malraux;19100;19;BRIVE;1905;BOUYGUES;Christian;05-55-17-10-17;45.16249759999999;1.489207800000031;;;
Concession NISSAN;DC Chademo - 44 kWh;49 Avenue du Général de Gaulle;2100;02;SAINT QUENTIN;202;;;03-23-64-01-80;49.8448274;3.299211000000014;;;
NISSAN WEST EUROPE TRAINING;DC Chademo - 44 kWh;Ave Jean d'Alembert;78190;78;TRAPPES;;;;;48.794111;1.981708;;;
Siège NISSAN France;DC Chademo - 44 kWh;2 Rue René Caudron;78690;78;VOISINS LE BRETONNEUX;;;;;48.7604544;2.062337100000036;;;
; ;;;;;;;;;;;;;